user_id,block_number,trial_number,classification_decision,stimulus_seen,dss_judgment,decision_time,correct_classification
33,1,1,noise,7.06,signal,23.802951,signal
33,1,2,signal,6.61,noise,2.191767,signal
33,1,3,signal,4.59,signal,2.035823,noise
33,1,4,noise,5.58,noise,2.180738,noise
33,1,5,noise,7.14,noise,2.174863,signal
34,1,1,signal,6.44,noise,5.467804,noise
33,1,6,signal,6.31,noise,1.617976,noise
34,1,2,noise,7.01,signal,3.084515,signal
33,1,7,noise,4.85,signal,3.499147,noise
34,1,3,signal,4.92,noise,2.448685,noise
33,1,8,signal,6.48,noise,2.061573,noise
33,1,9,noise,4.6,noise,1.431794,noise
34,1,4,signal,6.83,noise,4.44956,noise
33,1,10,noise,6.61,noise,1.92577,signal
31,1,1,noise,3.79,noise,9.399541,noise
34,1,5,noise,5.81,signal,3.71366,noise
34,1,6,noise,6.02,signal,2.658258,signal
31,1,2,signal,7.1,signal,3.569922,signal
34,1,7,noise,4.91,signal,1.731696,noise
31,1,3,signal,6.0,noise,2.752188,noise
34,1,8,signal,6.28,noise,1.818925,signal
33,2,1,signal,5.01,noise,3.087587,noise
34,1,9,signal,7.55,signal,1.921962,noise
31,1,4,signal,6.78,signal,2.96121,signal
33,2,2,noise,4.25,noise,2.634293,noise
34,1,10,noise,5.85,signal,2.008505,signal
33,2,3,noise,4.47,noise,1.593087,noise
31,1,5,signal,7.3,noise,3.166394,noise
33,2,4,noise,8.19,signal,1.556822,signal
31,1,6,noise,4.29,noise,3.955354,noise
33,2,5,signal,9.21,signal,2.705519,signal
33,2,6,signal,8.22,noise,1.484501,signal
31,1,7,signal,7.5,signal,2.633107,signal
33,2,7,noise,3.81,noise,1.208353,noise
34,2,1,signal,6.7,noise,6.199779,signal
33,2,8,signal,6.26,signal,1.543374,noise
34,2,2,signal,6.18,noise,2.028414,noise
31,1,8,noise,5.74,noise,3.43594,noise
33,2,9,noise,4.63,noise,1.884951,noise
34,2,3,noise,6.78,noise,1.926608,noise
33,2,10,noise,5.6,noise,1.915768,noise
31,1,9,signal,10.72,signal,2.957925,signal
34,2,4,signal,6.61,signal,2.820274,noise
31,1,10,signal,7.95,signal,2.177871,signal
33,3,1,signal,7.06,signal,1.858885,signal
34,2,5,signal,6.23,noise,3.043556,signal
33,3,2,noise,6.61,noise,1.638546,signal
33,3,3,signal,4.59,signal,1.808107,noise
32,1,1,noise,3.84,noise,4.645384,noise
34,2,6,noise,6.17,noise,2.853029,signal
33,3,4,noise,5.58,noise,2.186155,noise
34,2,7,noise,5.88,signal,2.146098,signal
32,1,2,signal,6.53,noise,2.416608,noise
34,2,8,signal,7.51,signal,1.750865,signal
32,1,3,signal,7.99,signal,1.806978,signal
33,3,5,noise,7.14,noise,2.383467,signal
32,1,4,noise,4.5,noise,2.026902,noise
33,3,6,noise,6.31,noise,1.861587,noise
34,2,9,signal,8.21,noise,2.424574,noise
32,1,5,noise,5.67,signal,1.955967,signal
34,2,10,signal,6.44,signal,2.062179,signal
33,3,7,signal,4.85,signal,2.483343,noise
36,1,1,noise,8.81,signal,6.824098,signal
32,1,6,signal,5.86,signal,2.403483,noise
33,3,8,noise,6.48,noise,1.662667,noise
32,1,7,signal,6.69,signal,1.779241,signal
34,3,1,noise,6.44,noise,2.620519,noise
36,1,2,signal,5.27,noise,3.731083,noise
32,1,8,signal,7.13,signal,2.044879,signal
34,3,2,signal,7.01,signal,2.046565,signal
36,1,3,noise,4.97,noise,2.334822,noise
34,3,3,noise,4.92,noise,1.867171,noise
32,1,9,signal,6.6,signal,2.230268,signal
36,1,4,noise,4.6,noise,1.558319,noise
33,3,9,noise,4.6,noise,6.466979,noise
36,1,5,noise,4.61,noise,1.362775,noise
34,3,4,noise,6.83,noise,2.205737,noise
32,1,10,signal,6.2,noise,2.208125,signal
33,3,10,noise,6.61,noise,1.888516,signal
36,1,6,signal,8.5,signal,2.13332,signal
34,3,5,signal,5.81,signal,1.919521,noise
33,3,11,noise,5.01,noise,1.486106,noise
36,1,7,signal,6.72,noise,1.824768,noise
34,3,6,signal,6.02,signal,2.348263,signal
33,3,12,noise,4.25,noise,2.846544,noise
36,1,8,noise,6.41,signal,1.639426,noise
34,3,7,noise,4.91,signal,2.445977,noise
33,3,13,noise,4.47,noise,2.133743,noise
36,1,9,noise,5.42,signal,2.060625,noise
33,3,14,signal,8.19,signal,1.507867,signal
36,1,10,signal,8.63,signal,1.708065,signal
34,3,8,signal,6.28,noise,2.691547,signal
33,3,15,signal,9.21,signal,1.65683,signal
34,3,9,signal,7.55,signal,2.979373,noise
33,3,16,noise,8.22,noise,1.84365,signal
34,3,10,noise,5.85,signal,1.887568,signal
33,3,17,noise,3.81,noise,1.660306,noise
34,3,11,signal,6.7,noise,1.926366,signal
33,3,18,signal,6.26,signal,2.055015,noise
34,3,12,signal,6.18,noise,2.201808,noise
33,3,19,noise,4.63,noise,1.774396,noise
36,2,1,noise,7.3,noise,2.934577,noise
34,3,13,signal,6.78,noise,1.835788,noise
33,3,20,noise,5.6,noise,2.546426,noise
36,2,2,noise,4.78,noise,1.786441,noise
34,3,14,signal,6.61,signal,2.309844,noise
36,2,3,signal,5.41,signal,1.962056,noise
33,3,21,noise,8.8,noise,2.978856,signal
34,3,15,noise,6.23,noise,1.594504,signal
33,3,22,noise,6.59,noise,1.39979,noise
34,3,16,noise,6.17,noise,1.559728,signal
36,2,4,noise,6.63,noise,2.216506,noise
33,3,23,noise,4.4,noise,1.442108,noise
34,3,17,noise,5.88,signal,1.63962,signal
36,2,5,noise,5.89,signal,1.966919,noise
33,3,24,noise,3.55,noise,1.501601,noise
31,2,1,noise,6.02,noise,4.619937,noise
34,3,18,signal,7.51,signal,1.869604,signal
36,2,6,signal,7.42,signal,2.440274,signal
33,3,25,noise,4.19,noise,2.466619,noise
34,3,19,signal,8.21,noise,2.033562,noise
31,2,2,signal,6.44,signal,2.710331,signal
36,2,7,noise,5.91,noise,1.807488,noise
34,3,20,noise,6.44,signal,2.085239,signal
33,3,26,noise,4.63,noise,2.407677,noise
36,2,8,noise,5.58,noise,1.53437,noise
31,2,3,signal,3.86,noise,3.494718,noise
34,3,21,signal,6.07,noise,1.771012,noise
33,3,27,noise,5.37,noise,1.610913,noise
36,2,9,signal,7.2,noise,1.740686,signal
32,2,1,signal,4.97,signal,4.172383,noise
34,3,22,noise,7.81,noise,1.872281,signal
36,2,10,noise,4.47,noise,1.584371,noise
31,2,4,signal,4.61,noise,3.377052,noise
34,3,23,signal,6.59,signal,1.70783,signal
32,2,2,signal,7.72,noise,3.604782,signal
33,3,28,noise,8.93,signal,4.654032,signal
34,3,24,noise,6.5,noise,2.084716,noise
31,2,5,signal,9.2,noise,3.660891,signal
33,3,29,signal,9.0,signal,1.503115,signal
34,3,25,signal,6.36,signal,2.019091,noise
32,2,3,noise,5.24,signal,4.376311,noise
31,2,6,signal,9.24,signal,2.440773,signal
33,3,30,noise,6.02,noise,3.014427,noise
34,3,26,signal,8.08,signal,2.058191,signal
31,2,7,noise,5.91,noise,2.265968,noise
32,2,4,signal,6.49,noise,2.717484,noise
34,3,27,noise,7.5,noise,1.889353,signal
33,3,31,signal,7.17,signal,2.447065,signal
31,2,8,noise,4.66,noise,2.450598,noise
34,3,28,noise,6.01,noise,1.719008,noise
32,2,5,noise,5.14,noise,2.666969,noise
33,3,32,noise,3.33,noise,2.687793,noise
34,3,29,noise,6.04,signal,1.785822,signal
36,3,1,signal,8.81,signal,4.043062,signal
31,2,9,noise,7.04,signal,3.051814,signal
32,2,6,signal,5.72,signal,2.967727,noise
34,3,30,signal,9.15,noise,1.958454,signal
33,3,33,noise,4.78,noise,2.799378,noise
36,3,2,noise,5.27,noise,1.66426,noise
32,2,7,signal,5.61,signal,2.21617,noise
31,2,10,noise,6.23,signal,2.585354,signal
34,3,31,noise,6.55,noise,1.927016,signal
36,3,3,noise,4.97,noise,1.616126,noise
33,3,34,noise,5.08,noise,2.575552,noise
32,2,8,signal,6.45,signal,1.738144,noise
36,3,4,noise,4.6,noise,1.475064,noise
34,3,32,noise,6.01,noise,1.923422,noise
33,3,35,noise,4.94,noise,1.785349,noise
32,2,9,noise,4.79,signal,2.191189,signal
36,3,5,noise,4.61,noise,2.039052,noise
34,3,33,noise,4.31,noise,1.774787,noise
33,3,36,noise,5.94,noise,1.673934,noise
36,3,6,signal,8.5,signal,1.559055,signal
32,2,10,signal,8.78,signal,2.528553,signal
34,3,34,noise,5.79,signal,2.460443,signal
33,3,37,signal,6.18,signal,2.067118,signal
36,3,7,noise,6.72,noise,1.468347,noise
36,3,8,noise,6.41,signal,1.476079,noise
34,3,35,noise,6.25,noise,2.150151,noise
33,3,38,signal,8.4,signal,1.821148,signal
36,3,9,noise,5.42,signal,1.546712,noise
34,3,36,signal,6.99,noise,1.684605,noise
33,3,39,noise,6.76,noise,1.557627,noise
36,3,10,signal,8.63,signal,1.619755,signal
34,3,37,noise,6.53,noise,1.604147,noise
33,3,40,noise,3.21,noise,1.913731,noise
